method,cell_id,column,mae,rmse,mape,n_origins
holt_winters,PCI_1,NG_HO_Exec_Success_Rate_%,0.3566,0.4497,0.36,6
holt_winters,PCI_1,PRB_Utilization_DL_%,9.9641,13.1746,16.47,6
holt_winters,PCI_1,PRB_Utilization_UL_%,10.4864,13.4645,22.46,6
holt_winters,PCI_1,DL_Throughput_Mbps,79.6381,107.662,24.38,6
holt_winters,PCI_1,UL_Throughput_Mbps,23.0398,29.9281,18.55,6
holt_winters,PCI_1,Total_Traffic_GB,0.6715,0.9131,20.18,6
holt_winters,PCI_1,RACH_Success_Rate_%,0.2126,0.2713,0.21,6
holt_winters,PCI_1,Latency_ms,2.1389,2.6498,17.84,6
holt_winters,PCI_10,Cell_Availability_%,0.0251,0.0316,0.03,6
holt_winters,PCI_10,RRC_Connection_Attempts,106.0562,142.1749,20.11,6
holt_winters,PCI_10,RRC_Connection_Rejects,0.5258,0.631,40.22,6
holt_winters,PCI_10,RRC_Success_Rate_%,0.0798,0.0917,0.08,6
holt_winters,PCI_10,Avg_RRC_Connected_Users,30.4981,40.4416,21.9,6
holt_winters,PCI_10,Peak_RRC_Connected_Users,44.827,56.9222,25.04,6
holt_winters,PCI_10,Registration_Success_Rate_%,0.1207,0.1532,0.12,6
holt_winters,PCI_10,PDU_Session_Success_Rate_%,0.1956,0.2484,0.2,6
holt_winters,PCI_10,RRC_Drop_Rate_%,0.0557,0.068,105.58,6
holt_winters,PCI_10,Handover_Attempts,11.114,14.7404,22.92,6
holt_winters,PCI_10,Handover_Success_Rate_%,0.2654,0.3311,0.27,6
holt_winters,PCI_10,Xn_HO_Prep_Success_Rate_%,0.2031,0.2494,0.21,6
holt_winters,PCI_10,Xn_HO_Exec_Success_Rate_%,0.2333,0.2922,0.24,6
holt_winters,PCI_10,NG_HO_Prep_Success_Rate_%,0.2298,0.2941,0.23,6
holt_winters,PCI_10,NG_HO_Exec_Success_Rate_%,0.2725,0.3462,0.28,6
holt_winters,PCI_10,PRB_Utilization_DL_%,14.7588,18.2764,25.18,6
holt_winters,PCI_10,PRB_Utilization_UL_%,9.2082,12.6226,20.7,6
holt_winters,PCI_10,DL_Throughput_Mbps,83.6602,106.4284,25.17,6
holt_winters,PCI_10,UL_Throughput_Mbps,19.5834,25.7506,16.17,6
holt_winters,PCI_10,Total_Traffic_GB,0.7481,0.978,21.92,6
holt_winters,PCI_10,RACH_Success_Rate_%,0.1965,0.2419,0.2,6
holt_winters,PCI_10,Latency_ms,2.3544,2.8673,19.14,6
holt_winters,PCI_2,Cell_Availability_%,0.0258,0.0331,0.03,6
holt_winters,PCI_2,RRC_Connection_Attempts,94.7147,128.5012,18.14,6
holt_winters,PCI_2,RRC_Connection_Rejects,0.5436,0.6116,39.89,6
holt_winters,PCI_2,RRC_Success_Rate_%,0.0833,0.0894,0.08,6
holt_winters,PCI_2,Avg_RRC_Connected_Users,30.0734,41.6682,22.21,6
holt_winters,PCI_2,Peak_RRC_Connected_Users,50.0592,63.4543,27.82,6
holt_winters,PCI_2,Registration_Success_Rate_%,0.1172,0.1466,0.12,6
holt_winters,PCI_2,PDU_Session_Success_Rate_%,0.1542,0.1934,0.16,6
holt_winters,PCI_2,RRC_Drop_Rate_%,0.0553,0.068,70.47,6
holt_winters,PCI_2,Handover_Attempts,11.3976,15.702,24.25,6
holt_winters,PCI_2,Handover_Success_Rate_%,0.9925,2.6802,1.09,6
holt_winters,PCI_2,Xn_HO_Prep_Success_Rate_%,0.2025,0.2564,0.2,6
holt_winters,PCI_2,Xn_HO_Exec_Success_Rate_%,0.6364,1.4527,0.67,6
holt_winters,PCI_2,NG_HO_Prep_Success_Rate_%,0.2483,0.3099,0.25,6
holt_winters,PCI_2,NG_HO_Exec_Success_Rate_%,0.2824,0.3475,0.29,6
holt_winters,PCI_2,PRB_Utilization_DL_%,12.5667,15.4498,21.39,6
holt_winters,PCI_2,PRB_Utilization_UL_%,9.6338,12.5024,21.2,6
holt_winters,PCI_2,DL_Throughput_Mbps,76.5446,99.7916,23.58,6
holt_winters,PCI_2,UL_Throughput_Mbps,25.9551,32.6025,20.94,6
holt_winters,PCI_2,Total_Traffic_GB,0.7426,0.9893,22.12,6
holt_winters,PCI_2,RACH_Success_Rate_%,0.229,0.2834,0.23,6
holt_winters,PCI_2,Latency_ms,2.5277,3.8903,16.19,6
holt_winters,PCI_3,Cell_Availability_%,0.0248,0.0302,0.02,6
holt_winters,PCI_3,RRC_Connection_Attempts,101.1923,135.8106,19.19,6
holt_winters,PCI_3,RRC_Connection_Rejects,0.5882,0.7126,41.81,6
holt_winters,PCI_3,RRC_Success_Rate_%,0.0845,0.0978,0.08,6
holt_winters,PCI_3,Avg_RRC_Connected_Users,37.4128,48.9831,26.28,6
holt_winters,PCI_3,Peak_RRC_Connected_Users,43.1311,58.0519,24.66,6
holt_winters,PCI_3,Registration_Success_Rate_%,0.1202,0.1515,0.12,6
holt_winters,PCI_3,PDU_Session_Success_Rate_%,0.1658,0.2053,0.17,6
holt_winters,PCI_3,RRC_Drop_Rate_%,0.0543,0.0695,147.36,6
holt_winters,PCI_3,Handover_Attempts,13.2043,17.0768,26.6,6
holt_winters,PCI_3,Handover_Success_Rate_%,0.2473,0.3156,0.25,6
holt_winters,PCI_3,Xn_HO_Prep_Success_Rate_%,0.2083,0.2616,0.21,6
holt_winters,PCI_3,Xn_HO_Exec_Success_Rate_%,0.262,0.3296,0.27,6
holt_winters,PCI_3,NG_HO_Prep_Success_Rate_%,0.2458,0.3077,0.25,6
holt_winters,PCI_3,NG_HO_Exec_Success_Rate_%,0.2855,0.3551,0.29,6
holt_winters,PCI_3,PRB_Utilization_DL_%,10.8123,13.7033,18.57,6
holt_winters,PCI_3,PRB_Utilization_UL_%,10.7318,13.597,22.54,6
holt_winters,PCI_3,DL_Throughput_Mbps,76.6292,104.0194,24.09,6
holt_winters,PCI_3,UL_Throughput_Mbps,24.0702,32.7241,20.08,6
holt_winters,PCI_3,Total_Traffic_GB,0.7923,1.0567,23.7,6
holt_winters,PCI_3,RACH_Success_Rate_%,0.2212,0.2806,0.22,6
holt_winters,PCI_3,Latency_ms,2.0708,2.5567,16.9,6
holt_winters,PCI_4,Cell_Availability_%,0.0207,0.0248,0.02,6
holt_winters,PCI_4,RRC_Connection_Attempts,112.7347,145.0013,21.27,6
holt_winters,PCI_4,RRC_Connection_Rejects,0.5334,0.6289,42.07,6
holt_winters,PCI_4,RRC_Success_Rate_%,0.0854,0.1007,0.09,6
holt_winters,PCI_4,Avg_RRC_Connected_Users,31.6223,43.9479,23.38,6
holt_winters,PCI_4,Peak_RRC_Connected_Users,42.5647,56.9608,24.33,6
holt_winters,PCI_4,Registration_Success_Rate_%,0.1268,0.1595,0.13,6
holt_winters,PCI_4,PDU_Session_Success_Rate_%,0.1599,0.1961,0.16,6
holt_winters,PCI_4,RRC_Drop_Rate_%,0.0584,0.0738,61.82,6
holt_winters,PCI_4,Handover_Attempts,12.1449,16.0216,25.6,6
holt_winters,PCI_4,Handover_Success_Rate_%,0.2473,0.3118,0.25,6
holt_winters,PCI_4,Xn_HO_Prep_Success_Rate_%,0.2085,0.2562,0.21,6
holt_winters,PCI_4,Xn_HO_Exec_Success_Rate_%,0.238,0.3007,0.24,6
holt_winters,PCI_4,NG_HO_Prep_Success_Rate_%,0.2421,0.3028,0.25,6
holt_winters,PCI_4,NG_HO_Exec_Success_Rate_%,0.3006,0.3732,0.31,6
holt_winters,PCI_4,PRB_Utilization_DL_%,9.8242,12.9704,17.18,6
holt_winters,PCI_4,PRB_Utilization_UL_%,9.2161,11.7714,20.1,6
holt_winters,PCI_4,DL_Throughput_Mbps,73.5239,101.5659,22.42,6
holt_winters,PCI_4,UL_Throughput_Mbps,28.6217,35.5737,22.49,6
holt_winters,PCI_4,Total_Traffic_GB,0.7351,0.9685,21.17,6
holt_winters,PCI_4,RACH_Success_Rate_%,0.1901,0.2426,0.19,6
holt_winters,PCI_4,Latency_ms,2.078,2.5409,16.42,6
holt_winters,PCI_5,Cell_Availability_%,0.0238,0.0291,0.02,6
holt_winters,PCI_5,RRC_Connection_Attempts,102.1126,138.2494,19.57,6
holt_winters,PCI_5,RRC_Connection_Rejects,23.9483,43.6091,1013.78,6
holt_winters,PCI_5,RRC_Success_Rate_%,3.3066,5.9931,3.53,6
holt_winters,PCI_5,Avg_RRC_Connected_Users,33.0636,43.9821,23.89,6
holt_winters,PCI_5,Peak_RRC_Connected_Users,45.703,58.5211,25.7,6
holt_winters,PCI_5,Registration_Success_Rate_%,2.0481,3.6065,2.14,6
holt_winters,PCI_5,PDU_Session_Success_Rate_%,2.7322,4.7997,2.86,6
holt_winters,PCI_5,RRC_Drop_Rate_%,1.1369,2.0031,709.32,6
holt_winters,PCI_5,Handover_Attempts,12.3999,17.5459,26.91,6
holt_winters,PCI_5,Handover_Success_Rate_%,4.7842,8.5261,5.28,6
holt_winters,PCI_5,Xn_HO_Prep_Success_Rate_%,4.913,8.9544,5.26,6
holt_winters,PCI_5,Xn_HO_Exec_Success_Rate_%,3.7912,6.6615,4.13,6
